월,이름,한줄 소개,국가,날씨,온도,추천 이유,이미지 URL,항공권 가격,비행시간,제휴 링크,제휴 안내,CTA 문구,위도,경도
1,방콕,겨울을 잊게 해주는 동남아의 황금도시,th,더움,28-34°C,"1월은 태국의 건기로 비가 거의 내리지 않아 여행하기 최적의 시즌입니다. 왕궁, 왓포 사원, 차오프라야 강변 야시장까지 맑은 하늘 아래 만끽할 수 있어요.",https://images.unsplash.com/photo-1563492065599-3520f775eeed?w=800,"₩500,000~",약 6시간,,,트립닷컴에서 항공권 확인하기,13.75,100.52
1,치앙마이,북부 태국의 고즈넉한 사원 도시,th,서늘함,15-25°C,"방콕보다 훨씬 서늘하고 습도도 낮아 트레킹과 사원 탐방에 이상적입니다. 도이수텝 사원, 코끼리 보호구역, 님만해민 카페 거리 등 다양한 매력이 있습니다.",https://images.unsplash.com/photo-1569468032074-ed6de9f0b7f1?w=800,"₩550,000~",약 6시간 30분,,,트립닷컴에서 항공권 확인하기,18.79,98.98
1,하노이,프렌치 콜로니얼 감성이 살아있는 천년 고도,vn,서늘함,14-20°C,"1월 하노이는 약간 서늘하고 안개 낀 날씨지만 오히려 운치 있습니다. 호안끼엠 호수 산책, 구시가지 골목 탐방, 에그커피 한 잔의 여유를 즐기기 좋습니다.",https://images.unsplash.com/photo-1509973385459-f90de7fc2ee2?w=800,"₩400,000~",약 5시간,,,트립닷컴에서 항공권 확인하기,21.03,105.85
1,리스본,유럽에서 가장 따뜻한 겨울을 품은 항구 도시,pt,서늘함,10-16°C,1월 유럽은 대부분 혹한이지만 리스본은 온화합니다. 비수기라 관광객도 적고 항공권과 호텔 모두 저렴해 가성비 최고의 유럽 여행지입니다.,https://images.unsplash.com/photo-1555881400-74d7acaacd8b?w=800,"₩1,200,000~",약 14시간,,,트립닷컴에서 항공권 확인하기,38.72,-9.14
1,테네리페,아프리카 앞바다의 유럽 휴양 낙원,es,쾌청함,18-24°C,"겨울에도 봄처럼 따뜻한 이 섬은 유럽인들의 겨울 피서지입니다. 테이데 화산 국립공원 트레킹, 흑모래 해변, 수선화 피어나는 풍경을 유럽 분위기로 즐길 수 있습니다.",https://images.unsplash.com/photo-1547036967-23d11aacaee0?w=800,"₩1,500,000~",약 15시간,,,트립닷컴에서 항공권 확인하기,28.29,-16.63
1,마라케시,아라비안 나이트가 살아 숨 쉬는 붉은 도시,ma,서늘함,10-18°C,"1월은 마라케시 최고의 여행 시즌입니다. 무더위 없이 쾌적하게 제마엘프나 광장, 수크 시장, 쿠투비아 모스크를 즐길 수 있습니다.",https://images.unsplash.com/photo-1539020140153-e479b8c22e70?w=800,"₩1,300,000~",약 13시간,,,트립닷컴에서 항공권 확인하기,31.63,-8.0
1,아바나,시간이 멈춘 카리브해의 클래식 카 도시,cu,쾌청함,20-26°C,"1월은 쿠바의 건기로 여행 최성수기입니다. 올드 아바나의 빛바랜 식민지 건축물, 1950년대 클래식카, 살사 음악이 독특한 세계를 펼칩니다.",https://images.unsplash.com/photo-1500759285222-a95626359a47?w=800,"₩2,000,000~",약 20시간(경유),,,트립닷컴에서 항공권 확인하기,23.14,-82.36
1,칸쿤,마야 문명과 카리브해 에메랄드 바다의 만남,mx,더움,24-30°C,"1월은 멕시코 카리브해의 건기로 허리케인 걱정 없이 눈부신 해변을 즐길 수 있습니다. 치첸이트사 마야 유적, 툴룸 절벽 위 신전, 세노테 수영까지 즐겨보세요.",https://images.unsplash.com/photo-1552074284-5e88ef1aef18?w=800,"₩1,800,000~",약 18시간(경유),,,트립닷컴에서 항공권 확인하기,21.16,-86.85
1,뉴올리언스,"재즈와 크레올 요리, 미국 속 또 다른 세계",us,서늘함,10-17°C,"1월 비수기라 관광객이 적고 여유롭게 프렌치 쿼터를 즐길 수 있습니다. 재즈 바, 버번 스트리트, 검보 요리까지 2월 마디그라 직전 도시가 들떠 있습니다.",https://images.unsplash.com/photo-1568849897151-1f35e28c9e46?w=800,"₩1,500,000~",약 16시간(경유),,,트립닷컴에서 항공권 확인하기,29.95,-90.07
1,도쿄,전통과 현대가 조화로운 일본의 수도,jp,맑음,5-15°C,"일본의 수도 도쿄는 전통과 현대가 조화롭게 어우러진 매력적인 도시입니다. 봄에는 아름다운 벚꽃을, 가을에는 단풍을, 겨울에는 일루미네이션을 즐길 수 있습니다.",https://images.unsplash.com/photo-1648871647634-0c99b483cb63?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxUb2t5byUyMEphcGFuJTIwY2l0eXNjYXBlfGVufDF8fHx8MTc3MTc0MjI1M3ww&ixlib=rb-4.1.0&q=80&w=1080&utm_source=figma&utm_medium=referral,"₩350,000~",직항 약 2시간 30분,,,트립닷컴에서 항공권 확인하기,35.68,139.69
1,몰디브,세계에서 가장 아름다운 해변과 럭셔리 리조트,mv,맑음,28-32°C,"세계에서 가장 아름다운 해변과 럭셔리 리조트로 유명한 몰디브. 스노클링, 다이빙 등 다양한 해양 스포츠를 즐기며 완벽한 휴식을 취할 수 있습니다.",https://images.unsplash.com/photo-1698726654862-377c0218dfdc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxNYWxkaXZlcyUyMGJlYWNoJTIwcmVzb3J0fGVufDF8fHx8MTc3MTc0Nzc1NXww&ixlib=rb-4.1.0&q=80&w=1080&utm_source=figma&utm_medium=referral,"₩1,200,000~",직항 약 8시간,,,트립닷컴에서 항공권 확인하기,3.2,73.22
1,두바이,부르즈 칼리파와 럭셔리가 있는 중동의 허브,ae,쾌적함,20-30°C,"세계 최고층 건물 부르즈 칼리파와 럭셔리 쇼핑몰, 인공 섬 팜 주메이라 등 화려한 볼거리가 가득한 두바이. 겨울철 여행지로 최고입니다.",https://images.unsplash.com/photo-1678789515224-a60b886cf119?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxEdWJhaSUyMFVBRSUyMHNreWxpbmV8ZW58MXx8fHwxNzcxNjU1NzYwfDA&ixlib=rb-4.1.0&q=80&w=1080&utm_source=figma&utm_medium=referral,"₩650,000~",직항 약 8시간,,,트립닷컴에서 항공권 확인하기,25.2,55.27
2,발리(우붓),"신들의 섬, 정글 속 힐링의 성지",id,더움,25-30°C,"2월은 발리 우붓 라이스테라스가 초록빛으로 물드는 시기입니다. 강 래프팅, 숲 속 요가 리트릿, 계단식 논밭 감상까지 비가 조금 오지만 신비로운 분위기입니다.",https://images.unsplash.com/photo-1537996194471-e657df975ab4?w=800,"₩600,000~",약 7시간,,,트립닷컴에서 항공권 확인하기,-8.51,115.26
2,후에,베트남 마지막 왕조의 황궁 도시,vn,서늘함,16-22°C,"중부 베트남의 고도 후에는 2월에 비교적 건조해 황성, 황제릉, 티엔무 사원을 여유롭게 둘러볼 수 있습니다. 베트남 왕실 요리도 특별한 경험입니다.",https://images.unsplash.com/photo-1580648280939-6b89db5c8c27?w=800,"₩450,000~",약 5시간 30분,,,트립닷컴에서 항공권 확인하기,16.46,107.6
